,item,referencia,tipo,codigo,descricao,unid,quantidade,bdi,preco_material_unitario,preco_material_total,preco_execucao_unitario,preco_execucao_total,preco_unitario,pre√ßo_total,Titulo,primeiro,segundo,terceiro
7,1.3.2,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-IMP,CUSTOS DE IMPRESAO E PLOTAGEM,VB,1,"0,0%",0.0,0.0,800.0,800.0,800.0,800.0,Projeto 2 - Ca,1,3,2
8,1.3.3,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-RRT,TAXA RRT,VB,1,"0,0%",0.0,0.0,108.69,108.69,108.69,108.69,Projeto 2 - Ca,1,3,3
9,1.3.4,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-PRT,TAXA PROTOCOLO,VB,1,"0,0%",0.0,0.0,800.0,800.0,800.0,800.0,Projeto 2 - Ca,1,3,4
11,1.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-ART,TAXA ART,VB,2,"0,0%",0.0,0.0,88.78,177.56,88.78,177.56,Projeto 2 - Ca,1,4,1
14,2.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_TRN-LPZ-CTT,LIMPEZA DA CAMADA VEGETAL DO LOTE,M2,300,"0,0%",0.0,0.0,11.2,3360.0,11.2,3360.0,Projeto 2 - Ca,2,1,1
16,2.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CSM-H20,CONSUMO DE AGUA DURANTE A OBRA,VB,"3,6","0,0%",200.0,720.0,0.0,0.0,200.0,720.0,Projeto 2 - Ca,2,2,1
17,2.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CSM-ELE,CONSUMO DE ENERGIA DURANTE A OBRA,VB,"3,6","0,0%",400.0,1440.0,0.0,0.0,400.0,1440.0,Projeto 2 - Ca,2,2,2
18,2.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-BWC-PRV,BANHEIRO PROVISORIO,VB,"3,6","0,0%",0.0,0.0,1500.0,5400.0,1500.0,5400.0,Projeto 2 - Ca,2,2,3
19,2.2.4,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CCB-GRS,CACAMBAS E GESTAO DE RESIDUOS,VB,"3,6","0,0%",0.0,0.0,1250.0,4500.0,1250.0,4500.0,Projeto 2 - Ca,2,2,4
20,2.2.5,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CON-MTR,CONTAINER PARA MATERIAL,VB,"3,6","0,0%",0.0,0.0,1200.0,4320.0,1200.0,4320.0,Projeto 2 - Ca,2,2,5
21,2.2.6,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-EPI-5PS,EPI E PEC PARA TIME DE 5 PESSOAS,VB,"3,6","0,0%",0.0,0.0,2000.0,7200.0,2000.0,7200.0,Projeto 2 - Ca,2,2,6
23,2.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-TPM,INSTALACAO DE TAPUME,ML,80,"0,0%",95.34,7627.2,11.0,880.0,106.34,8507.2,Projeto 2 - Ca,2,3,1
25,2.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-INS-PLO,INSTALACAO DE PLACA DE OBRA,VB,1,"0,0%",300.0,300.0,0.0,0.0,300.0,300.0,Projeto 2 - Ca,2,4,1
27,2.5.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CDA-EQM,CONDICAO DE ACESSO DE EQUIPAMENTOS E MATERIAIS,VB,"1,8","0,0%",0.0,0.0,2000.0,3600.0,2000.0,3600.0,Projeto 2 - Ca,2,5,1
29,2.6.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INS-PRV,INSTALACOES PROVISORIAS DE AGUA E ENERGIA,VB,1,"0,0%",0.0,0.0,100.0,100.0,100.0,100.0,Projeto 2 - Ca,2,6,1
32,3.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_LIG-INF-CDM-MTS,LIGACOES ELETRICAS E HIDROSSANITARIAS EM CONDOMINIO - METRO QUADRADO,M2,250,"0,0%",44.0,11000.0,35.0,8750.0,79.0,19750.0,Projeto 2 - Ca,3,1,1
33,3.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_LIG-INF-CDM-UNI,LIGACOES ELETRICAS E HIDROSSANITARIAS EM CONDOMINIO - UNITARIO,VB,1,"0,0%",3500.0,3500.0,0.0,0.0,3500.0,3500.0,Projeto 2 - Ca,3,1,2
35,3.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-FUN-012-RAD-FIB,CONCRETAGEM DE FUNDACAO DE RADIER COM FIBRA DE ACO,M2,"161,55","0,0%",125.51,20276.74,85.0,13731.75,210.51,34008.49,Projeto 2 - Ca,3,2,1
37,3.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_MUR-BLA-260,"MURO DE BLOCO APARENTE; H2,6M",ML,"44,28","0,0%",356.02,15764.37,260.0,11512.8,616.02,27277.17,Projeto 2 - Ca,3,3,1
38,3.3.2,MKS_COMPOSICOES,COMPOSICAO,CMP_REB-MUR,REBOCO DE MURO,M2,"224,01","0,0%",13.84,3100.3,25.0,5600.25,38.84,8700.55,Projeto 2 - Ca,3,3,2
39,3.3.3,MKS_COMPOSICOES,COMPOSICAO,CMP_PIN-MUR-TEX,TEXTURA ROLADA PARA MURO - BRANCA,M2,"6,83","0,0%",7.04,48.06,23.0,157.09,30.04,205.15,Projeto 2 - Ca,3,3,3
40,3.3.4,MKS_COMPOSICOES,COMPOSICAO,CMP_PIN-MUR-TEX,TEXTURA ROLADA PARA MURO - BRANCA,M2,"193,28","0,0%",7.04,1360.11,23.0,4445.44,30.04,5805.55,Projeto 2 - Ca,3,3,4
41,3.3.5,MKS_COMPOSICOES,COMPOSICAO,CMP_PIN-MUR-TEX,TEXTURA ROLADA PARA MURO - BRANCA,M2,"1,79","0,0%",7.04,12.6,23.0,41.17,30.04,53.77,Projeto 2 - Ca,3,3,5
43,3.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-PRT-220-PED-ABR,"PORTAO DE PEDESTRE; ABRIR; H2,2M",UN,"1,3","0,0%",2200.0,2860.0,0.0,0.0,2200.0,2860.0,Projeto 2 - Ca,3,4,1
44,3.4.2,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-PRT-420-VEI-BSC,"PORTAO DE VEICULO BASCULANTE 4,2M H2,4M",UN,1,"0,0%",13440.0,13440.0,0.0,0.0,13440.0,13440.0,Projeto 2 - Ca,3,4,2
47,4.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-EST-TLD-SOB-FIB,ESTRUTURA DE TELHADO PARA SOBRADO COM FIBROCIMENTO,M2,"127,46","0,0%",158.51,20204.0,65.0,8284.9,223.51,28488.9,Projeto 2 - Ca,4,1,1
49,4.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"35,89","0,0%",121.66,4366.38,0.0,0.0,121.66,4366.38,Projeto 2 - Ca,4,2,1
50,4.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"3,79","0,0%",121.66,461.09,0.0,0.0,121.66,461.09,Projeto 2 - Ca,4,2,2
51,4.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"3,79","0,0%",121.66,461.09,0.0,0.0,121.66,461.09,Projeto 2 - Ca,4,2,3
52,4.2.4,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"7,66","0,0%",121.66,931.92,0.0,0.0,121.66,931.92,Projeto 2 - Ca,4,2,4
53,4.2.5,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"17,54","0,0%",121.66,2133.92,0.0,0.0,121.66,2133.92,Projeto 2 - Ca,4,2,5
54,4.2.6,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"34,54","0,0%",121.66,4202.14,0.0,0.0,121.66,4202.14,Projeto 2 - Ca,4,2,6
55,4.2.7,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"53,66","0,0%",121.66,6528.28,0.0,0.0,121.66,6528.28,Projeto 2 - Ca,4,2,7
56,4.2.8,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"35,19","0,0%",121.66,4281.22,0.0,0.0,121.66,4281.22,Projeto 2 - Ca,4,2,8
59,5.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-ALV-VED-CER-014,ALVENARIA DE VEDACAO DE BLOCO CERAMICO 014,M2,"180,83","0,0%",134.19,24265.36,80.0,14466.4,214.19,38731.76,Projeto 2 - Ca,5,1,1
60,5.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-ALV-VED-CER-009,ALVENARIA DE VEDACAO DE BLOCO CERAMICO 009,M2,"481,23","0,0%",116.57,56099.29,80.0,38498.4,196.57,94597.69,Projeto 2 - Ca,5,1,2
62,5.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_LAJ-CON-TRL-012,CONCRETAGEM E DESFORMA - LAJE PRE FABRICADA TRELICADA,M2,"207,94","0,0%",265.31,55168.39,100.0,20794.0,365.31,75962.39,Projeto 2 - Ca,5,2,1
63,5.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_LAJ-CON-TRL-012-INC,CONCRETAGEM E DESFORMA - LAJE PRE FABRICADA TRELICADA INCLINADA ATE 2 POR CENTO,M2,"27,09","0,0%",321.84,8718.74,205.0,5553.45,526.84,14272.19,Projeto 2 - Ca,5,2,2
65,5.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-VIG-BRD-020X040,CONCRETAGEM E DESFORMA - VIGA DE BORDO; 20X40CM,ML,"9,63","0,0%",105.26,1013.64,50.0,481.5,155.26,1495.14,Projeto 2 - Ca,5,3,1
67,5.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_ESC-CCT-ARM,ESCADA EM CONCRETO ARMADO,ML,"4,67","0,0%",602.87,2815.38,300.0,1401.0,902.87,4216.38,Projeto 2 - Ca,5,4,1
70,6.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ELE-PAA,INSTALACOES ELETRICAS - PADRAO ALTO,M2,250,"0,0%",69.3,17325.0,35.0,8750.0,104.3,26075.0,Projeto 2 - Ca,6,1,1
72,6.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ELE-ACB-PAA,ACABAMENTOS ELETRICOS - PADRAO ALTO,M2,250,"0,0%",26.4,6600.0,12.0,3000.0,38.4,9600.0,Projeto 2 - Ca,6,2,1
75,7.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_HID-AFR-AQN-ESG,"INSTALACOES DE AGUA FRIA, AGUA QUENTE E ESGOTO",M2,250,"0,0%",93.5,23375.0,35.0,8750.0,128.5,32125.0,Projeto 2 - Ca,7,1,1
77,7.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_HIS-FQE-ACH-CAS-PAA,ACABAMENTOS HIDROSSANITARIOS NA COZINHA E AREA DE SERVICO - PADRAO ALTO,UN,2,"0,0%",680.0,1360.0,0.0,0.0,680.0,1360.0,Projeto 2 - Ca,7,2,1
78,7.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_HIS-FQE-ACH-BWC-PAA,ACABAMENTOS HIDROSSANITARIOS NOS BANHEIROS - PADRAO ALTO,UN,4,"0,0%",5165.0,20660.0,180.0,720.0,5345.0,21380.0,Projeto 2 - Ca,7,2,2
81,8.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-CNT-004,CONTRAPISO 4CM,M2,"218,96","0,0%",20.15,4412.28,35.0,7663.6,55.15,12075.88,Projeto 2 - Ca,8,1,1
83,8.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-RCR-PRC-060X060-CCL-RTF-ACT-INT,PORCELANATO; 60X60CM; CINZA CLARO; RETIFICADO; ACETINADO; REF. INCEPA; AREA SECA,M2,"8,94","0,0%",132.25,1182.32,79.0,706.26,211.25,1888.58,Projeto 2 - Ca,8,2,1
84,8.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-RCR-PRC-060X060-CCL-RTF-ACT-INT-AUM,PORCELANATO; 60X60CM; CINZA CLARO; RETIFICADO; ACETINADO; REF. INCEPA; AREA UMIDA; COM IMPERMEABILIZACAO,M2,"29,22","0,0%",183.26,5354.95,69.0,2016.18,252.26,7371.13,Projeto 2 - Ca,8,2,2
85,8.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-RCR-PRC-060X060-CCL-RTF-ACT-EXT,PORCELANATO EXTERNO; 60X60CM; CINZA CLARO; RETIFICADO; ACETINADO; REF. INCEPA; AREA UMIDA; COM IMPERMEABILIZACAO,M2,"77,33","0,0%",264.67,20466.58,69.0,5335.77,333.67,25802.35,Projeto 2 - Ca,8,2,3
87,8.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-SOL-PRT-GNT-PSG,SOLEIRA DE PORTA EM GRANITO PRETO SAO GABRIEL,ML,"8,41","0,0%",58.52,492.15,45.0,378.45,103.52,870.6,Projeto 2 - Ca,8,3,1
88,8.3.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-SOL-PRT-GNT-PSG,SOLEIRA DE PORTA EM GRANITO PRETO SAO GABRIEL,ML,"20,36","0,0%",58.52,1191.47,45.0,916.2,103.52,2107.67,Projeto 2 - Ca,8,3,2
89,8.3.3,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-SOL-BOX-GNT-CLR,SOLEIRAS DE BOX EM GRANITO DE TONALIDADE CLARA,ML,"3,35","0,0%",19.54,65.44,45.0,150.75,64.54,216.19,Projeto 2 - Ca,8,3,3
91,8.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-LMN-CLR-RDP-EPS,PISO LAMINADO; TONALIDADE CLARA; RODAPE EPS BRANCO; REF. DURAFLOOR,M2,"102,1","0,0%",92.49,9442.76,40.0,4084.0,132.49,13526.76,Projeto 2 - Ca,8,4,1
93,8.5.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-REV-GRN-CLR-ESC,REVESTIMENTO DE ESCADA DE GRANITO TONALIDADE CLARA,M2,"5,14","0,0%",1646.86,8464.86,120.0,616.8,1766.86,9081.66,Projeto 2 - Ca,8,5,1
96,9.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PRD-RBC-1FC,RESTANTE REBOCO INTERNO,M2,"1251,39","0,0%",26.95,33724.96,25.0,31284.75,51.95,65009.71,Projeto 2 - Ca,9,1,1
98,9.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-INT-RVC-060X030-BRN-RTF-ACT,REVESTIMENTO CERAMICO DE PAREDE; 60X30CM; BRANCO; RETIFICADO; ACETINADO; REF. PORTINARI,M2,"20,41","0,0%",214.77,4383.46,60.0,1224.6,274.77,5608.06,Projeto 2 - Ca,9,2,1
99,9.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-INT-RVC-060X030-BRN-RTF-ACT,REVESTIMENTO CERAMICO DE PAREDE; 60X30CM; BRANCO; RETIFICADO; ACETINADO; REF. PORTINARI,M2,"27,14","0,0%",214.77,5828.86,60.0,1628.4,274.77,7457.26,Projeto 2 - Ca,9,2,2
100,9.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-INT-PRC-060X060-CCL-RTF-ACT,REVESTIMENTO CERAMICO DE PAREDE; 60X60CM; CINCA CLARO; RETIFICADO; ACETINADO; REF. INCEPA,M2,"47,11","0,0%",111.75,5264.75,69.0,3250.59,180.75,8515.34,Projeto 2 - Ca,9,2,3
101,9.2.4,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-INT-PRC-060X060-CCL-RTF-ACT,REVESTIMENTO CERAMICO DE PAREDE; 60X60CM; CINCA CLARO; RETIFICADO; ACETINADO; REF. INCEPA,M2,"27,21","0,0%",111.75,3040.84,69.0,1877.49,180.75,4918.33,Projeto 2 - Ca,9,2,4
103,9.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-EXT-PRC-120X020-MAD-RET-ACT,"PORCELANATO MADEIRA NA FACHADA. REF. INCEPA, PP ARBOL CARVALHO, 120X20CM",M2,"25,14","0,0%",198.21,4982.87,100.0,2514.0,298.21,7496.87,Projeto 2 - Ca,9,3,1
106,10.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PRD-RBC-1FC,RESTANTE REBOCO INTERNO,M2,"54,84","0,0%",26.95,1477.94,25.0,1371.0,51.95,2848.94,Projeto 2 - Ca,10,1,1
108,10.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_FOR-GES-OBR-TBC-INT,FORRO DE GESSO  EXECUTADO EM OBRA COM TABICA E CORTINEIRO,M2,"170,54","0,0%",59.06,10072.28,30.0,5116.2,89.06,15188.48,Projeto 2 - Ca,10,2,1
109,10.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-ALC-BRC-60X60,ALCAPAO METALICO BRANCO 60X60,UN,1,"0,0%",150.26,150.26,0.0,0.0,150.26,150.26,Projeto 2 - Ca,10,2,2
112,11.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_AAB-AB-16-LS_060X060,PORTA EM ALUMINIO BRANCO UMA FOLHA DE ABRIR - 60 X 60,UN,1,"0,0%",540.0,540.0,0.0,0.0,540.0,540.0,Projeto 2 - Ca,11,1,1
113,11.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"1,2","0,0%",825.0,990.0,0.0,0.0,825.0,990.0,Projeto 2 - Ca,11,1,2
114,11.1.3,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"1,04","0,0%",825.0,858.0,0.0,0.0,825.0,858.0,Projeto 2 - Ca,11,1,3
115,11.1.4,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"3,94","0,0%",825.0,3250.5,0.0,0.0,825.0,3250.5,Projeto 2 - Ca,11,1,4
116,11.1.5,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,8,"0,0%",825.0,6600.0,0.0,0.0,825.0,6600.0,Projeto 2 - Ca,11,1,5
117,11.1.6,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"10,44","0,0%",825.0,8613.0,0.0,0.0,825.0,8613.0,Projeto 2 - Ca,11,1,6
118,11.1.7,MKS_COMPOSICOES,COMPOSICAO,CMP_PAP-AB-25-MI-090X214,PORTA EM ALUMINIO PRETO E VIDRO UMA FOLHA DE ABRIR - 90 X 214,UN,2,"0,0%",1400.0,2800.0,0.0,0.0,1400.0,2800.0,Projeto 2 - Ca,11,1,7
120,11.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-070X210-BRC-COR-CPR,PORTA DE CORRER DE MADEIRA SEMI-OCA; 70X210CM; BRANCA; COM PROTECAO CONTRA UMIDADE,UN,2,"0,0%",0.0,0.0,85.0,170.0,85.0,170.0,Projeto 2 - Ca,11,2,1
121,11.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-070X210-BRC-SMO-CPR,PORTA INTERNA DE MADEIRA SEMI-OCA; 70X210CM; BRANCA; COM PROTECAO CONTRA UMIDADE,UN,4,"0,0%",809.42,3237.68,150.0,600.0,959.42,3837.68,Projeto 2 - Ca,11,2,2
122,11.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-080X210-BRC-SMO,PORTA INTERNA DE MADEIRA SEMI-OCA; 80X210CM; BRANCA,UN,6,"0,0%",834.42,5006.52,150.0,900.0,984.42,5906.52,Projeto 2 - Ca,11,2,3
123,11.2.4,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-080X210-BRC-MMC-CFR,PORTA EXTERNA DE MADEIRA MACICA; 80X210CM; BRANCA,UN,1,"0,0%",2134.72,2134.72,150.0,150.0,2284.72,2284.72,Projeto 2 - Ca,11,2,4
124,11.2.5,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-090X210-BRC-MMC-CFR-CKP,PORTA EXTERNA DE MADEIRA MACICA; 90X210CM; BRANCA; COM FRISOS; COM KIT PUXADOR,UN,1,"0,0%",2409.72,2409.72,150.0,150.0,2559.72,2559.72,Projeto 2 - Ca,11,2,5
127,12.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-INT-BRC-ACR,PINTURA ACRILICA FOSCA; BRANCO NEVE,M2,"225,37","0,0%",9.99,2250.67,25.0,5634.25,34.99,7884.92,Projeto 2 - Ca,12,1,1
128,12.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-INT-BRC-ACR,PINTURA ACRILICA FOSCA; BRANCO NEVE,M2,"3,19","0,0%",9.99,31.86,25.0,79.75,34.99,111.61,Projeto 2 - Ca,12,1,2
129,12.1.3,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-INT-CCL-ACR,PINTURA ACRILICA FOSCA; CINZA CLARO,M2,"405,56","0,0%",11.37,4611.44,25.0,10139.0,36.37,14750.44,Projeto 2 - Ca,12,1,3
131,12.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CCL-TXT-PRJ,TEXTURA PROJETADA COR CINZA CLARO,M2,"3,93","0,0%",8.96,35.22,28.0,110.04,36.96,145.26,Projeto 2 - Ca,12,2,1
132,12.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CCL-TXT-PRJ,TEXTURA PROJETADA COR CINZA CLARO,M2,"617,89","0,0%",8.96,5538.15,28.0,17300.92,36.96,22839.07,Projeto 2 - Ca,12,2,2
133,12.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CES-TXT-PRJ,TEXTURA PROJETADA COR CINZA ESCURO,M2,"3,16","0,0%",8.96,28.32,28.0,88.48,36.96,116.8,Projeto 2 - Ca,12,2,3
134,12.2.4,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CCL-TXT-PRJ,TEXTURA PROJETADA COR CINZA CLARO,M2,"1,26","0,0%",8.96,11.29,28.0,35.28,36.96,46.57,Projeto 2 - Ca,12,2,4
135,12.2.5,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CMD-TXT-PRJ,TEXTURA PROJETADA COR CINZA MEDIO,M2,"26,4","0,0%",8.96,236.62,28.0,739.2,36.96,975.82,Projeto 2 - Ca,12,2,5
136,12.2.6,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CES-TXT-PRJ,TEXTURA PROJETADA COR CINZA ESCURO,M2,"69,39","0,0%",8.96,621.94,28.0,1942.92,36.96,2564.86,Projeto 2 - Ca,12,2,6
139,13.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_GAS-ABG,TUBULACAO DE GAS E ABRIGO,UN,"2,5","0,0%",700.0,1750.0,850.0,2125.0,1550.0,3875.0,Projeto 2 - Ca,13,1,1
141,13.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ICP-CHR-PMC-065X055,CHURRASQUEIRA PRE MOLDADA DE CONCRETO,UN,1,"0,0%",4535.0,4535.0,0.0,0.0,4535.0,4535.0,Projeto 2 - Ca,13,2,1
143,13.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ICP-GDC-INO,GUARDA CORPO INOX 110CM,ML,"10,34","0,0%",1925.0,19904.5,0.0,0.0,1925.0,19904.5,Projeto 2 - Ca,13,3,1
146,14.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CAL-INT-CCG,CALCADA INTERNA DE CONCREGRAMA,M2,"38,11","0,0%",191.13,7283.77,35.0,1333.85,226.13,8617.62,Projeto 2 - Ca,14,1,1
148,14.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CAL-EXT-PAV,CALCADA DE BLOCO INTERTRAVADO PAVER,M2,"20,97","0,0%",52.45,1099.88,35.0,733.95,87.45,1833.83,Projeto 2 - Ca,14,2,1
150,14.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ACB-GRM-ESM,GRAMA ESMERALDA,M2,"98,68","0,0%",16.5,1628.22,0.0,0.0,16.5,1628.22,Projeto 2 - Ca,14,3,1
152,14.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_LAF-LPZ-FNL-OBR,LIMPEZA FINAL DE OBRA,M2,250,"0,0%",0.0,0.0,11.5,2875.0,11.5,2875.0,Projeto 2 - Ca,14,4,1
155,15.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_FNO-FOR-ENT,"FORMALIZACAO DA ENTREGA VISTORIA, ACEITE",VB,1,"11,6%",0.0,0.0,1.12,1.12,1.12,1.12,Projeto 2 - Ca,15,1,1
